,yield,yield_unit,brand,crop,state,county,latitude,longitude,plantdate,harvestdate,test_avg_yield,test_avg_yield_unit,irrigated_status,soil_class,country,Location
94,174.2,bu/ac,AUGUSTA,corn,MD,Cecil,39.43333,-75.79472,5/17/12,10/9/12,166.5,bu/ac,False,SANDY LOAM,US,"Cecil,MD,US"
95,260.3,bu/ac,CHEMGRO,corn,MD,Cecil,39.4333,-75.79471,5/21/13,11/4/13,245.4,bu/ac,False,SANDY LOAM,US,"Cecil,MD,US"
96,241.4,bu/ac,AGRIGOLD,corn,MD,Cecil,39.4273,-75.79349,5/20/14,11/8/14,231.7,bu/ac,False,SANDY LOAM,US,"Cecil,MD,US"
97,243.6,bu/ac,BECKS,corn,IA,Washington,41.30899,-91.648258,5/7/14,11/1/14,239.3,bu/ac,False,SILTY CLAY LOAM,US,"Washington,IA,US"
98,214.0,bu/ac,AGRIGOLD,corn,IA,Black Hawk,42.484811,-92.164396,5/9/14,10/30/14,201.6,bu/ac,False,SILTY CLAY LOAM,US,"Black Hawk,IA,US"
99,214.4,bu/ac,AGRIGOLD,corn,NE,Wayne,42.28008,-96.96012,5/5/14,11/5/14,206.5,bu/ac,True,SILTY CLAY LOAM,US,"Wayne,NE,US"
100,189.0,bu/ac,AGVENTURE,corn,SD,Day,45.36707,-97.411736,5/20/14,11/2/14,180.7,bu/ac,False,SILTY CLAY LOAM,US,"Day,SD,US"
101,258.7,bu/ac,CHANNEL,corn,IN,Tipton,40.362455,-85.898748,5/17/13,10/13/13,228.2,bu/ac,False,SILTY CLAY LOAM,US,"Tipton,IN,US"
102,238.2,bu/ac,BECKS,corn,IN,Tipton,40.36361,-85.89807,5/9/14,11/2/14,247.0,bu/ac,False,SILTY CLAY LOAM,US,"Tipton,IN,US"
103,234.4,bu/ac,CHANNEL,corn,IN,Montgomery,40.1716,-87.0576,5/20/14,10/23/14,228.9,bu/ac,False,SILTY CLAY LOAM,US,"Montgomery,IN,US"
106,203.7,bu/ac,CHAMPION,corn,IA,Worth,43.3539,-93.2109,5/10/12,10/11/12,179.1612903,bu/ac,False,,US,"Worth,IA,US"
107,201.5,bu/ac,CHAMPION,corn,IA,Worth,43.3539,-93.2109,5/10/12,10/11/12,179.1612903,bu/ac,False,,US,"Worth,IA,US"
108,179.8,bu/ac,CHAMPION,corn,IA,Fayette,42.74688868,-91.89586235,4/26/12,9/26/12,186.9537037,bu/ac,False,LOAM,US,"Fayette,IA,US"
109,166.0,bu/ac,CHAMPION,corn,IA,Adams,40.97355719,-94.78801829,5/11/12,10/12/12,150.1846154,bu/ac,False,SILTY CLAY LOAM,US,"Adams,IA,US"
111,175.8,bu/ac,CHAMPION,corn,IA,Hardin,42.3061,-93.3005,5/15/13,10/21/13,182.0281879,bu/ac,False,,US,"Hardin,IA,US"
112,231.8,bu/ac,CHAMPION,corn,IA,Benton,42.01802649,-92.13970243,5/15/13,10/26/13,207.7426667,bu/ac,False,SILTY CLAY LOAM,US,"Benton,IA,US"
113,215.0,bu/ac,CHAMPION,corn,IA,Pocahontas,42.75101563,-94.6485412,5/7/14,11/1/14,208.344,bu/ac,False,CLAY LOAM,US,"Pocahontas,IA,US"
114,192.5,bu/ac,CHAMPION,corn,IA,Hancock,43.04549834,-94.31656616,5/7/14,10/28/14,183.7650794,bu/ac,False,CLAY LOAM,US,"Hancock,IA,US"
115,200.1,bu/ac,CHAMPION,corn,IA,Fayette,42.74688868,-91.89586235,5/21/14,10/30/14,189.9888889,bu/ac,False,LOAM,US,"Fayette,IA,US"
116,202.9,bu/ac,BECKS,corn,IA,Harrison,41.60463153,-95.91915364,5/4/14,10/29/14,222.02,bu/ac,False,SILT LOAM,US,"Harrison,IA,US"
118,261.9046,bu/ac,BECKS,corn,IL,Grundy,41.21602109,-88.44286849,5/6/14,10/9/14,249.8239779,bu/ac,False,SILTY CLAY LOAM,US,"Grundy,IL,US"
119,242.1717,bu/ac,CATALYST,corn,IL,Grundy,41.21602109,-88.44286849,5/6/14,10/9/14,249.8239779,bu/ac,False,SILTY CLAY LOAM,US,"Grundy,IL,US"
120,247.6334,bu/ac,CHANNEL,corn,IL,Grundy,41.21602109,-88.44286849,5/6/14,10/9/14,249.8239779,bu/ac,False,SILTY CLAY LOAM,US,"Grundy,IL,US"
121,223.5236,bu/ac,CHANNEL,corn,IL,DeKalb,41.78529825,-88.8413625,5/7/14,10/29/14,232.8714686,bu/ac,False,SILTY CLAY LOAM,US,"DeKalb,IL,US"
122,262.7754,bu/ac,BECKS,corn,IL,Whiteside,41.71073532,-90.05076708,5/7/14,10/11/14,255.6250959,bu/ac,False,SILTY CLAY LOAM,US,"Whiteside,IL,US"
123,201.9531,bu/ac,BECKS,corn,IL,Fayette,38.89234929,-88.78304253,5/20/14,10/16/14,194.4702873,bu/ac,False,SILT LOAM,US,"Fayette,IL,US"
124,241.418,bu/ac,BECKS,corn,IL,St. Clair,38.52835224,-89.94835907,5/5/14,10/1/14,243.7477676,bu/ac,False,SILT LOAM,US,"St. Clair,IL,US"
125,250.2135,bu/ac,AGRIGOLD,corn,IL,Pike,39.7594141,-90.88178798,4/23/14,10/22/14,236.5357417,bu/ac,False,SILT LOAM,US,"Pike,IL,US"
126,265.0,bu/ac,AGRIGOLD,corn,IN,Daviess,38.64199544,-87.08532895,5/7/14,9/25/14,260.6875,bu/ac,False,SILT LOAM,US,"Daviess,IN,US"
127,264.0,bu/ac,BECKS,corn,IN,Rush,39.58344972,-85.44653091,5/21/14,11/8/14,256.59375,bu/ac,False,SILT LOAM,US,"Rush,IN,US"
128,181.0,bu/ac,AGRIGOLD,corn,IN,Kosciusko,41.2315233,-85.8859987,5/27/14,11/12/14,209.52,bu/ac,False,LOAM,US,"Kosciusko,IN,US"
129,222.3,bu/ac,AGRIGOLD,corn,OH,Darke,40.08858551,-84.64943913,5/30/14,10/30/14,233.0236364,bu/ac,False,SILT LOAM,US,"Darke,OH,US"
130,215.3,bu/ac,RENK,corn,IA,Ida,42.51378,-95.3489,5/13/13,10/28/13,206.9,bu/ac,False,SILTY CLAY LOAM,US,"Ida,IA,US"
131,260.0,bu/ac,BECKS,corn,IN,Tippecanoe,40.471817,-86.90575821,5/20/13,10/22/13,240.2352941,bu/ac,False,SILTY CLAY LOAM,US,"Tippecanoe,IN,US"
132,252.0,bu/ac,AGRIGOLD,corn,IN,Daviess,38.64199544,-87.08532895,5/7/14,9/25/14,260.6875,bu/ac,False,SILT LOAM,US,"Daviess,IN,US"
